ts,symbol,interval,open_time_utc,open,high,low,close,volume,close_time_utc,quote_volume,trades,source,feed_status,real_live_verified,claim_level
2026-06-25T09:18:07+00:00,SOLUSDT,15m,2026-06-25T08:15:00+00:00,69.23,69.26,69.02,69.13,25250.371,2026-06-25T08:29:59+00:00,1745731.88512,5523,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,SOLUSDT,15m,2026-06-25T08:30:00+00:00,69.13,69.21,68.99,69.18,28103.588,2026-06-25T08:44:59+00:00,1940840.37224,5114,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,SOLUSDT,15m,2026-06-25T08:45:00+00:00,69.18,69.24,68.99,69.05,13767.953,2026-06-25T08:59:59+00:00,951350.74941,4233,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,SOLUSDT,15m,2026-06-25T09:00:00+00:00,69.06,69.19,69.04,69.14,11125.201,2026-06-25T09:14:59+00:00,768789.53308,4265,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:07+00:00,SOLUSDT,15m,2026-06-25T09:15:00+00:00,69.13,69.18,69.1,69.14,770.848,2026-06-25T09:29:59+00:00,53296.20129,645,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:30:09+00:00,SOLUSDT,15m,2026-06-25T09:30:00+00:00,68.96,68.96,68.95,68.95,33.064,2026-06-25T09:44:59+00:00,2280.04218,33,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:38+00:00,SOLUSDT,15m,2026-06-25T09:45:00+00:00,68.95,69.01,68.92,68.96,2986.178,2026-06-25T09:59:59+00:00,205909.16317,1599,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:00:30+00:00,SOLUSDT,15m,2026-06-25T10:00:00+00:00,68.83,68.85,68.82,68.85,447.9,2026-06-25T10:14:59+00:00,30830.45495,156,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:17:24+00:00,SOLUSDT,15m,2026-06-25T10:15:00+00:00,68.83,68.88,68.8,68.81,924.256,2026-06-25T10:29:59+00:00,63630.2907,640,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:30:35+00:00,SOLUSDT,15m,2026-06-25T10:30:00+00:00,68.56,68.61,68.56,68.56,2593.43,2026-06-25T10:44:59+00:00,177864.51729,272,https://data-api.binance.vision,OK_KLINES_SOLUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
