ts,symbol,interval,open_time_utc,open,high,low,close,volume,close_time_utc,quote_volume,trades,source,feed_status,real_live_verified,claim_level
2026-06-25T09:18:10+00:00,DOGEUSDT,1m,2026-06-25T09:14:00+00:00,0.07713,0.07716,0.07713,0.07713,18190.0,2026-06-25T09:14:59+00:00,1403.38827,180,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:10+00:00,DOGEUSDT,1m,2026-06-25T09:15:00+00:00,0.07714,0.07714,0.0771,0.0771,28573.0,2026-06-25T09:15:59+00:00,2203.39404,76,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:10+00:00,DOGEUSDT,1m,2026-06-25T09:16:00+00:00,0.07711,0.07715,0.0771,0.07715,14070.0,2026-06-25T09:16:59+00:00,1085.13955,155,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:10+00:00,DOGEUSDT,1m,2026-06-25T09:17:00+00:00,0.07714,0.07716,0.07713,0.07713,53959.0,2026-06-25T09:17:59+00:00,4162.56261,72,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:10+00:00,DOGEUSDT,1m,2026-06-25T09:18:00+00:00,0.07713,0.07713,0.07713,0.07713,564.0,2026-06-25T09:18:59+00:00,43.50132,5,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:19:08+00:00,DOGEUSDT,1m,2026-06-25T09:19:00+00:00,0.07705,0.07705,0.07705,0.07705,0.0,2026-06-25T09:19:59+00:00,0.0,0,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:21:07+00:00,DOGEUSDT,1m,2026-06-25T09:20:00+00:00,0.07707,0.0771,0.07707,0.0771,32083.0,2026-06-25T09:20:59+00:00,2473.25164,90,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:21:07+00:00,DOGEUSDT,1m,2026-06-25T09:21:00+00:00,0.07709,0.07709,0.07708,0.07708,857.0,2026-06-25T09:21:59+00:00,66.06289,29,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:22:28+00:00,DOGEUSDT,1m,2026-06-25T09:22:00+00:00,0.07699,0.07699,0.07695,0.07696,49141.0,2026-06-25T09:22:59+00:00,3782.45405,183,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:23:50+00:00,DOGEUSDT,1m,2026-06-25T09:23:00+00:00,0.07692,0.07703,0.07692,0.07701,52501.0,2026-06-25T09:23:59+00:00,4041.50064,312,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:25:11+00:00,DOGEUSDT,1m,2026-06-25T09:24:00+00:00,0.077,0.07701,0.077,0.07701,9589.0,2026-06-25T09:24:59+00:00,738.37078,52,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:25:11+00:00,DOGEUSDT,1m,2026-06-25T09:25:00+00:00,0.07701,0.07701,0.07701,0.07701,7524.0,2026-06-25T09:25:59+00:00,579.42324,17,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:26:01+00:00,DOGEUSDT,1m,2026-06-25T09:26:00+00:00,0.07695,0.07695,0.07695,0.07695,13.0,2026-06-25T09:26:59+00:00,1.00035,1,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:27:39+00:00,DOGEUSDT,1m,2026-06-25T09:27:00+00:00,0.07696,0.07696,0.07693,0.07694,131297.0,2026-06-25T09:27:59+00:00,10102.66802,175,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:28:57+00:00,DOGEUSDT,1m,2026-06-25T09:28:00+00:00,0.07696,0.07698,0.07693,0.07697,72897.0,2026-06-25T09:28:59+00:00,5609.61546,148,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:30:12+00:00,DOGEUSDT,1m,2026-06-25T09:29:00+00:00,0.07697,0.07698,0.07694,0.07696,30041.0,2026-06-25T09:29:59+00:00,2311.98448,143,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:30:12+00:00,DOGEUSDT,1m,2026-06-25T09:30:00+00:00,0.07695,0.07695,0.07695,0.07695,13731.0,2026-06-25T09:30:59+00:00,1056.60045,13,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:31:48+00:00,DOGEUSDT,1m,2026-06-25T09:31:00+00:00,0.07702,0.07702,0.07688,0.07688,17367.0,2026-06-25T09:31:59+00:00,1336.02332,242,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:33:08+00:00,DOGEUSDT,1m,2026-06-25T09:32:00+00:00,0.07686,0.0769,0.07684,0.07689,426470.0,2026-06-25T09:32:59+00:00,32776.98074,343,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:33:08+00:00,DOGEUSDT,1m,2026-06-25T09:33:00+00:00,0.0769,0.07691,0.0769,0.0769,3049.0,2026-06-25T09:33:59+00:00,234.47621,15,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:34:30+00:00,DOGEUSDT,1m,2026-06-25T09:34:00+00:00,0.07691,0.07692,0.07691,0.07691,28071.0,2026-06-25T09:34:59+00:00,2158.94484,63,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:35:48+00:00,DOGEUSDT,1m,2026-06-25T09:35:00+00:00,0.07687,0.07687,0.07683,0.07683,86137.0,2026-06-25T09:35:59+00:00,6620.69454,128,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:37:08+00:00,DOGEUSDT,1m,2026-06-25T09:36:00+00:00,0.07683,0.07689,0.07683,0.07689,32346.0,2026-06-25T09:36:59+00:00,2485.85046,116,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:37:08+00:00,DOGEUSDT,1m,2026-06-25T09:37:00+00:00,0.07689,0.0769,0.07689,0.0769,2267.0,2026-06-25T09:37:59+00:00,174.32593,32,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:38:27+00:00,DOGEUSDT,1m,2026-06-25T09:38:00+00:00,0.07691,0.07691,0.07689,0.0769,9903.0,2026-06-25T09:38:59+00:00,761.5029,29,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:39:09+00:00,DOGEUSDT,1m,2026-06-25T09:39:00+00:00,0.0769,0.07692,0.0769,0.07692,38323.0,2026-06-25T09:39:59+00:00,2947.53425,59,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:40:43+00:00,DOGEUSDT,1m,2026-06-25T09:40:00+00:00,0.07689,0.07689,0.07687,0.07689,13325.0,2026-06-25T09:40:59+00:00,1024.37603,44,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:42:01+00:00,DOGEUSDT,1m,2026-06-25T09:41:00+00:00,0.0769,0.07694,0.07689,0.07693,144281.0,2026-06-25T09:41:59+00:00,11099.3438,164,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:42:01+00:00,DOGEUSDT,1m,2026-06-25T09:42:00+00:00,0.07694,0.07694,0.07694,0.07694,152.0,2026-06-25T09:42:59+00:00,11.69488,11,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:43:19+00:00,DOGEUSDT,1m,2026-06-25T09:43:00+00:00,0.07693,0.07695,0.07693,0.07694,5719.0,2026-06-25T09:43:59+00:00,440.00937,28,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:41+00:00,DOGEUSDT,1m,2026-06-25T09:48:00+00:00,0.07693,0.07693,0.07692,0.07692,33503.0,2026-06-25T09:48:59+00:00,2577.35658,16,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:41+00:00,DOGEUSDT,1m,2026-06-25T09:49:00+00:00,0.07693,0.07695,0.07692,0.07693,44015.0,2026-06-25T09:49:59+00:00,3386.20413,72,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:41+00:00,DOGEUSDT,1m,2026-06-25T09:50:00+00:00,0.07693,0.07697,0.07693,0.07696,9527.0,2026-06-25T09:50:59+00:00,733.0622,57,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:41+00:00,DOGEUSDT,1m,2026-06-25T09:51:00+00:00,0.07697,0.07698,0.07696,0.07698,32125.0,2026-06-25T09:51:59+00:00,2472.8302,33,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:41+00:00,DOGEUSDT,1m,2026-06-25T09:52:00+00:00,0.07698,0.07699,0.07697,0.07698,82454.0,2026-06-25T09:52:59+00:00,6347.20265,102,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:53:04+00:00,DOGEUSDT,1m,2026-06-25T09:53:00+00:00,0.07698,0.07698,0.07698,0.07698,5573.0,2026-06-25T09:53:59+00:00,429.00954,8,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:54:08+00:00,DOGEUSDT,1m,2026-06-25T09:54:00+00:00,0.07698,0.07698,0.07698,0.07698,10668.0,2026-06-25T09:54:59+00:00,821.22264,15,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:56:22+00:00,DOGEUSDT,1m,2026-06-25T09:55:00+00:00,0.07698,0.07699,0.07696,0.07696,44745.0,2026-06-25T09:55:59+00:00,3444.36276,76,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:56:22+00:00,DOGEUSDT,1m,2026-06-25T09:56:00+00:00,0.07697,0.07699,0.07697,0.07698,11686.0,2026-06-25T09:56:59+00:00,899.58673,24,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:57:57+00:00,DOGEUSDT,1m,2026-06-25T09:57:00+00:00,0.07701,0.07701,0.07696,0.07696,65255.0,2026-06-25T09:57:59+00:00,5023.01795,130,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:59:14+00:00,DOGEUSDT,1m,2026-06-25T09:58:00+00:00,0.07696,0.07698,0.07696,0.07698,121262.0,2026-06-25T09:58:59+00:00,9332.44308,43,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:59:14+00:00,DOGEUSDT,1m,2026-06-25T09:59:00+00:00,0.07698,0.077,0.07696,0.077,129600.0,2026-06-25T09:59:59+00:00,9977.01558,59,https://data-api.binance.vision,OK_KLINES_DOGEUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
