ts,symbol,interval,open_time_utc,open,high,low,close,volume,close_time_utc,quote_volume,trades,source,feed_status,real_live_verified,claim_level
2026-06-25T09:18:09+00:00,XRPUSDT,15m,2026-06-25T08:15:00+00:00,1.0841,1.0842,1.0823,1.0831,717070.7,2026-06-25T08:29:59+00:00,776612.52108,2299,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:09+00:00,XRPUSDT,15m,2026-06-25T08:30:00+00:00,1.0831,1.0842,1.0824,1.0842,399560.7,2026-06-25T08:44:59+00:00,432782.98801,1953,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:09+00:00,XRPUSDT,15m,2026-06-25T08:45:00+00:00,1.0841,1.0843,1.0827,1.083,297736.2,2026-06-25T08:59:59+00:00,322636.95767,1917,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:09+00:00,XRPUSDT,15m,2026-06-25T09:00:00+00:00,1.0831,1.0839,1.0825,1.0834,344849.4,2026-06-25T09:14:59+00:00,373546.94053,2079,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:09+00:00,XRPUSDT,15m,2026-06-25T09:15:00+00:00,1.0834,1.0839,1.0832,1.0835,50976.5,2026-06-25T09:29:59+00:00,55237.82284,357,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:30:11+00:00,XRPUSDT,15m,2026-06-25T09:30:00+00:00,1.082,1.082,1.0819,1.082,317.2,2026-06-25T09:44:59+00:00,343.189,6,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:52:40+00:00,XRPUSDT,15m,2026-06-25T09:45:00+00:00,1.0808,1.0818,1.0808,1.081,207950.2,2026-06-25T09:59:59+00:00,224818.24752,860,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:00:32+00:00,XRPUSDT,15m,2026-06-25T10:00:00+00:00,1.0815,1.0816,1.0814,1.0816,3270.7,2026-06-25T10:14:59+00:00,3537.30607,39,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:17:26+00:00,XRPUSDT,15m,2026-06-25T10:15:00+00:00,1.0807,1.0814,1.0805,1.0805,119347.5,2026-06-25T10:29:59+00:00,129008.29647,539,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T10:30:37+00:00,XRPUSDT,15m,2026-06-25T10:30:00+00:00,1.0785,1.0786,1.0784,1.0784,13812.6,2026-06-25T10:44:59+00:00,14897.17936,106,https://data-api.binance.vision,OK_KLINES_XRPUSDT_15m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
