ts,symbol,interval,open_time_utc,open,high,low,close,volume,close_time_utc,quote_volume,trades,source,feed_status,real_live_verified,claim_level
2026-06-25T09:18:05+00:00,SOLUSDT,1m,2026-06-25T09:14:00+00:00,69.15,69.16,69.14,69.14,412.805,2026-06-25T09:14:59+00:00,28543.19998,155,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:05+00:00,SOLUSDT,1m,2026-06-25T09:15:00+00:00,69.13,69.13,69.1,69.12,282.151,2026-06-25T09:15:59+00:00,19503.50051,179,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:05+00:00,SOLUSDT,1m,2026-06-25T09:16:00+00:00,69.13,69.18,69.12,69.18,211.971,2026-06-25T09:16:59+00:00,14653.76826,227,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:05+00:00,SOLUSDT,1m,2026-06-25T09:17:00+00:00,69.17,69.18,69.13,69.13,228.31,2026-06-25T09:17:59+00:00,15791.07993,204,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:18:05+00:00,SOLUSDT,1m,2026-06-25T09:18:00+00:00,69.14,69.15,69.14,69.14,48.416,2026-06-25T09:18:59+00:00,3347.85259,35,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:19:04+00:00,SOLUSDT,1m,2026-06-25T09:19:00+00:00,69.08,69.08,69.08,69.08,1.992,2026-06-25T09:19:59+00:00,137.60736,2,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:21:03+00:00,SOLUSDT,1m,2026-06-25T09:20:00+00:00,69.09,69.09,69.07,69.08,267.57,2026-06-25T09:20:59+00:00,18484.20845,140,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:21:03+00:00,SOLUSDT,1m,2026-06-25T09:21:00+00:00,69.07,69.08,69.07,69.08,9.564,2026-06-25T09:21:59+00:00,660.63055,4,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:22:24+00:00,SOLUSDT,1m,2026-06-25T09:22:00+00:00,68.99,68.99,68.93,68.94,609.854,2026-06-25T09:22:59+00:00,42062.36114,406,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:23:45+00:00,SOLUSDT,1m,2026-06-25T09:23:00+00:00,68.87,68.95,68.87,68.93,967.968,2026-06-25T09:23:59+00:00,66710.62159,607,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:25:07+00:00,SOLUSDT,1m,2026-06-25T09:24:00+00:00,68.9,68.91,68.88,68.88,433.324,2026-06-25T09:24:59+00:00,29851.95635,250,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:25:07+00:00,SOLUSDT,1m,2026-06-25T09:25:00+00:00,68.88,68.88,68.87,68.87,252.665,2026-06-25T09:25:59+00:00,17401.32689,65,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
2026-06-25T09:26:15+00:00,SOLUSDT,1m,2026-06-25T09:26:00+00:00,68.87,68.89,68.87,68.88,213.498,2026-06-25T09:26:59+00:00,14703.79571,117,https://data-api.binance.vision,OK_KLINES_SOLUSDT_1m_5,True,CANDLE_HARVEST_PUBLIC_MARKET_DATA_ONLY_NOT_EDGE_PROOF
